,word,lemma,onset,offset,section,sentence_index
13678,en,en,84.62,84.72,9,1466
13679,fouillant,fouillant,84.72,85.06,9,1466
13680,ma,ma,85.06,85.22,9,1466
13681,poche,poche,85.22,85.51,9,1466
13682,pour,pour,85.51,85.64,9,1466
13683,en,en,85.64,85.74,9,1466
13684,tirer,tirer,85.74,86.08,9,1466
13685,mon,mon,86.08,86.22,9,1466
13686,revolver,revolver,86.22,86.88,9,1466
13687,je,je,87.19,87.42,9,1466
13688,pris,pris,87.42,87.64,9,1466
13689,le,le,87.64,87.8,9,1466
13690,pas,pas,87.8,87.99,9,1466
13691,de,de,87.99,88.13,9,1466
13692,course,course,88.13,88.65,9,1466
13693,mais,mais,88.85,89.16,9,1467
13694,au,à,89.41,89.47999999999999,9,1467
13695,bruit,bruit,89.55,89.85,9,1467
13696,que,que,89.85,89.97,9,1467
13697,je,je,89.97,90.16,9,1467
13698,fis,fis,90.16,90.47,9,1467
13699,le,le,90.77,90.94,9,1467
13700,serpent,serpent,90.94,91.37,9,1467
13701,se,se,91.37,91.52,9,1467
13702,laissa,laissa,91.52,91.92,9,1467
13703,doucement,doucement,91.92,92.52,9,1467
13704,couler,couler,92.52,92.89,9,1467
13705,dans,dans,92.89,93.02,9,1467
13706,le,le,93.02,93.12,9,1467
13707,sable,sable,93.12,93.64,9,1467
13708,comme,comme,93.87,94.11,9,1467
13709,un,un,94.11,94.19,9,1467
13710,jet,jet,94.19,94.41,9,1467
13711,d',d',94.41,94.46,9,1467
13712,eau,eau,94.46,94.54,9,1467
13713,qui,qui,94.61,94.75,9,1467
13714,meurt,meurt,94.75,95.19,9,1467
13715,et,et,95.54,95.79,9,1468
13716,sans,sans,96.02,96.28,9,1468
13717,trop,trop,96.28,96.51,9,1468
13718,se,se,96.51,96.66,9,1468
13719,presser,presser,96.66,97.18,9,1468
13720,se,se,97.49,97.69,9,1468
13721,faufila,faufila,97.69,98.19,9,1468
13722,entre,entre,98.19,98.45,9,1468
13723,les,les,98.45,98.63,9,1468
13724,pierres,pierres,98.63,99.07,9,1468
13725,avec,avec,99.07,99.39,9,1468
13726,un,un,99.39,99.47,9,1468
13727,léger,léger,99.47,99.87,9,1468
13728,bruit,bruit,99.87,100.14,9,1468
